case_id,query,candidate_ids,decision,reviewer,rationale,decided_at
vbo-fcb758b78074,Collie,VBO:0200375;VBO:0200376,,,,
vbo-487634d6840f,ISTRIAN WIRE-HAIRED HOUND,VBO:0008047;VBO:0200710,,,,
vbo-dd89d5c0f92b,Heeler,VBO:0200097;VBO:0200665,,,,
vbo-520b197b4490,Norwegian Hound,VBO:0200456;VBO:0200958,,,,
vbo-fd516806e7ea,Finnish Hound,VBO:0008040;VBO:0200522,,,,
vbo-a5083933a363,POSAVATZ HOUND,VBO:0008048;VBO:0201080,,,,
vbo-bd3a70004123,Bulgarian Shepherd dog,VBO:0008007;VBO:0200247,,,,
vbo-110a503e7237,Griffon Fauve De Bretagne,VBO:0200514;VBO:0200643,,,,
vbo-17d4eba53721,Mastín Español,VBO:0008021;VBO:0201278,,,,
vbo-31df5cfc03b6,Stabijhoun,VBO:0008072;VBO:0201293;VBO:0201294,,,,
vbo-19d0c95f77d4,Brittany Spaniel,VBO:0200238;VBO:0200239,,,,
vbo-205398e86fcc,Braque Français - Type Gascogne,VBO:0200545;VBO:0200559,,,,
vbo-10ca330d647f,German Hound,VBO:0200439;VBO:0200567,,,,
vbo-5d4058a57171,Old English Mastiff,VBO:0200867;VBO:0200968,,,,
vbo-4e027db1bed7,POSAVSKI GONIČ,VBO:0008048;VBO:0201081,,,,
vbo-903b267a0b6e,Welshie,VBO:0201411;VBO:0201412,,,,
vbo-0df0d1a127fa,Hungarian Sheepdog,VBO:0200680;VBO:0200779,,,,
vbo-3a21a51e1c4d,Scottish Collie,VBO:0200376;VBO:0201194,,,,
vbo-dee5d7170adc,Carpathian Sheepdog,VBO:0200295;VBO:0201140,,,,
vbo-3951ff146d85,Sloughi Moghrebi,VBO:0200069;VBO:0201242,,,,
vbo-fe9cc099f5c0,Boxer,VBO:0008090;VBO:0200210,,,,
vbo-f54705487d4e,Mallorquin Bulldog,VBO:0200845;VBO:0200854;VBO:0200855,,,,
vbo-50576b4f527c,Nederlandse Schapendoes,VBO:0008070;VBO:0200460;VBO:0200462;VBO:0201181,,,,
vbo-3e3c77050109,Mastin Espanol,VBO:0201272;VBO:0201278,,,,
