variation_id,stratum,use,ncbi_2023_09,validator,reason_codes
3018,expert_panel,clinical_reference,admitted,review_required,BEV004
11835,expert_panel,clinical_reference,admitted,review_required,BEV004
21389,expert_panel,clinical_reference,admitted,review_required,BEV004
36197,expert_panel,clinical_reference,admitted,review_required,BEV004
36453,expert_panel,clinical_reference,admitted,review_required,BEV004
36454,expert_panel,clinical_reference,admitted,review_required,BEV004
37581,expert_panel,clinical_reference,admitted,review_required,BEV004
37656,expert_panel,clinical_reference,admitted,review_required,BEV004
37754,expert_panel,clinical_reference,admitted,review_required,BEV004
37763,expert_panel,clinical_reference,admitted,review_required,BEV004
43298,expert_panel,clinical_reference,admitted,review_required,BEV004
44830,expert_panel,clinical_reference,admitted,review_required,BEV004
48544,expert_panel,clinical_reference,admitted,review_required,BEV004
51409,expert_panel,clinical_reference,admitted,review_required,BEV004
53712,expert_panel,clinical_reference,admitted,review_required,BEV004
54467,expert_panel,clinical_reference,admitted,review_required,BEV004
54960,expert_panel,clinical_reference,admitted,review_required,BEV004
55220,expert_panel,clinical_reference,admitted,review_required,BEV004
55221,expert_panel,clinical_reference,admitted,review_required,BEV004
55411,expert_panel,clinical_reference,admitted,review_required,BEV004
55451,expert_panel,clinical_reference,admitted,review_required,BEV004
89232,expert_panel,clinical_reference,admitted,review_required,BEV004
89245,expert_panel,clinical_reference,admitted,review_required,BEV004
89483,expert_panel,clinical_reference,admitted,review_required,BEV004
89857,expert_panel,clinical_reference,admitted,review_required,BEV004
89968,expert_panel,clinical_reference,admitted,review_required,BEV004
90044,expert_panel,clinical_reference,admitted,review_required,BEV004
90332,expert_panel,clinical_reference,admitted,review_required,BEV004
90854,expert_panel,clinical_reference,admitted,review_required,BEV004
91031,expert_panel,clinical_reference,admitted,review_required,BEV004
91178,expert_panel,clinical_reference,admitted,review_required,BEV004
92743,expert_panel,clinical_reference,admitted,review_required,BEV004
102499,expert_panel,clinical_reference,admitted,review_required,BEV004
102729,expert_panel,clinical_reference,admitted,review_required,BEV004
102892,expert_panel,clinical_reference,admitted,review_required,BEV004
133012,expert_panel,clinical_reference,admitted,review_required,BEV004
133194,expert_panel,clinical_reference,admitted,review_required,BEV004
133217,expert_panel,clinical_reference,admitted,review_required,BEV004
143549,expert_panel,clinical_reference,admitted,review_required,BEV004
143564,expert_panel,clinical_reference,admitted,review_required,BEV004
156497,expert_panel,clinical_reference,admitted,review_required,BEV004
156620,expert_panel,clinical_reference,admitted,review_required,BEV004
160079,expert_panel,clinical_reference,admitted,review_required,BEV004
161277,expert_panel,clinical_reference,admitted,review_required,BEV004
164294,expert_panel,clinical_reference,admitted,review_required,BEV004
164724,expert_panel,clinical_reference,admitted,review_required,BEV004
177667,expert_panel,clinical_reference,admitted,review_required,BEV004
183083,expert_panel,clinical_reference,admitted,review_required,BEV004
189415,expert_panel,clinical_reference,admitted,review_required,BEV004
189776,expert_panel,clinical_reference,admitted,review_required,BEV004
217360,expert_panel,clinical_reference,admitted,review_required,BEV004
225375,expert_panel,clinical_reference,admitted,review_required,BEV004
228798,expert_panel,clinical_reference,admitted,review_required,BEV004
234144,expert_panel,clinical_reference,admitted,review_required,BEV004
251649,expert_panel,clinical_reference,admitted,review_required,BEV004
252258,expert_panel,clinical_reference,admitted,review_required,BEV004
283894,expert_panel,clinical_reference,admitted,review_required,BEV004
301423,expert_panel,clinical_reference,admitted,review_required,BEV004
427623,expert_panel,clinical_reference,admitted,review_required,BEV004
431959,expert_panel,clinical_reference,admitted,review_required,BEV004
436617,expert_panel,clinical_reference,admitted,review_required,BEV004
552907,expert_panel,clinical_reference,admitted,review_required,BEV004
619908,expert_panel,clinical_reference,admitted,review_required,BEV004
804844,expert_panel,clinical_reference,admitted,review_required,BEV004
972810,expert_panel,clinical_reference,admitted,review_required,BEV004
4255,multiple_submitters,clinical_reference,admitted,review_required,BEV004
16439,multiple_submitters,clinical_reference,admitted,review_required,BEV004
55214,multiple_submitters,clinical_reference,admitted,review_required,BEV004
56471,multiple_submitters,clinical_reference,admitted,review_required,BEV004
189399,multiple_submitters,clinical_reference,admitted,review_required,BEV004
208273,multiple_submitters,clinical_reference,admitted,review_required,BEV004
218040,multiple_submitters,clinical_reference,admitted,review_required,BEV004
245761,multiple_submitters,clinical_reference,admitted,review_required,BEV004
370139,multiple_submitters,clinical_reference,admitted,review_required,BEV004
406228,multiple_submitters,clinical_reference,admitted,review_required,BEV004
431847,multiple_submitters,clinical_reference,admitted,review_required,BEV004
523914,multiple_submitters,clinical_reference,admitted,review_required,BEV004
533814,multiple_submitters,clinical_reference,admitted,review_required,BEV004
551576,multiple_submitters,clinical_reference,admitted,review_required,BEV004
864303,multiple_submitters,clinical_reference,admitted,review_required,BEV004
937141,multiple_submitters,clinical_reference,admitted,review_required,BEV004
970883,multiple_submitters,clinical_reference,admitted,review_required,BEV004
1003680,multiple_submitters,clinical_reference,admitted,review_required,BEV004
1473602,multiple_submitters,clinical_reference,admitted,rejected,BEV007
7109,practice_guideline,clinical_reference,admitted,review_required,BEV004
3018,expert_panel,expert_reference,admitted,review_required,BEV004
11835,expert_panel,expert_reference,admitted,review_required,BEV004
21389,expert_panel,expert_reference,admitted,review_required,BEV004
36197,expert_panel,expert_reference,admitted,review_required,BEV004
36453,expert_panel,expert_reference,admitted,review_required,BEV004
36454,expert_panel,expert_reference,admitted,review_required,BEV004
37581,expert_panel,expert_reference,admitted,review_required,BEV004
37656,expert_panel,expert_reference,admitted,review_required,BEV004
37754,expert_panel,expert_reference,admitted,review_required,BEV004
37763,expert_panel,expert_reference,admitted,review_required,BEV004
43298,expert_panel,expert_reference,admitted,review_required,BEV004
44830,expert_panel,expert_reference,admitted,review_required,BEV004
48544,expert_panel,expert_reference,admitted,review_required,BEV004
51409,expert_panel,expert_reference,admitted,review_required,BEV004
53712,expert_panel,expert_reference,admitted,review_required,BEV004
54467,expert_panel,expert_reference,admitted,review_required,BEV004
54960,expert_panel,expert_reference,admitted,review_required,BEV004
55220,expert_panel,expert_reference,admitted,review_required,BEV004
55221,expert_panel,expert_reference,admitted,review_required,BEV004
55411,expert_panel,expert_reference,admitted,review_required,BEV004
55451,expert_panel,expert_reference,admitted,review_required,BEV004
89232,expert_panel,expert_reference,admitted,review_required,BEV004
89245,expert_panel,expert_reference,admitted,review_required,BEV004
89483,expert_panel,expert_reference,admitted,review_required,BEV004
89857,expert_panel,expert_reference,admitted,review_required,BEV004
89968,expert_panel,expert_reference,admitted,review_required,BEV004
90044,expert_panel,expert_reference,admitted,review_required,BEV004
90332,expert_panel,expert_reference,admitted,review_required,BEV004
90854,expert_panel,expert_reference,admitted,review_required,BEV004
91031,expert_panel,expert_reference,admitted,review_required,BEV004
91178,expert_panel,expert_reference,admitted,review_required,BEV004
92743,expert_panel,expert_reference,admitted,review_required,BEV004
102499,expert_panel,expert_reference,admitted,review_required,BEV004
102729,expert_panel,expert_reference,admitted,review_required,BEV004
102892,expert_panel,expert_reference,admitted,review_required,BEV004
133012,expert_panel,expert_reference,admitted,review_required,BEV004
133194,expert_panel,expert_reference,admitted,review_required,BEV004
133217,expert_panel,expert_reference,admitted,review_required,BEV004
143549,expert_panel,expert_reference,admitted,review_required,BEV004
143564,expert_panel,expert_reference,admitted,review_required,BEV004
156497,expert_panel,expert_reference,admitted,review_required,BEV004
156620,expert_panel,expert_reference,admitted,review_required,BEV004
160079,expert_panel,expert_reference,admitted,review_required,BEV004
161277,expert_panel,expert_reference,admitted,review_required,BEV004
164294,expert_panel,expert_reference,admitted,review_required,BEV004
164724,expert_panel,expert_reference,admitted,review_required,BEV004
177667,expert_panel,expert_reference,admitted,review_required,BEV004
183083,expert_panel,expert_reference,admitted,review_required,BEV004
189415,expert_panel,expert_reference,admitted,review_required,BEV004
189776,expert_panel,expert_reference,admitted,review_required,BEV004
217360,expert_panel,expert_reference,admitted,review_required,BEV004
225375,expert_panel,expert_reference,admitted,review_required,BEV004
228798,expert_panel,expert_reference,admitted,review_required,BEV004
234144,expert_panel,expert_reference,admitted,review_required,BEV004
251649,expert_panel,expert_reference,admitted,review_required,BEV004
252258,expert_panel,expert_reference,admitted,review_required,BEV004
283894,expert_panel,expert_reference,admitted,review_required,BEV004
301423,expert_panel,expert_reference,admitted,review_required,BEV004
427623,expert_panel,expert_reference,admitted,review_required,BEV004
431959,expert_panel,expert_reference,admitted,review_required,BEV004
436617,expert_panel,expert_reference,admitted,review_required,BEV004
552907,expert_panel,expert_reference,admitted,review_required,BEV004
619908,expert_panel,expert_reference,admitted,review_required,BEV004
804844,expert_panel,expert_reference,admitted,review_required,BEV004
972810,expert_panel,expert_reference,admitted,review_required,BEV004
7109,practice_guideline,expert_reference,admitted,review_required,BEV004
872752,conflicting,research_summary,not_admitted,admitted,
3018,expert_panel,research_summary,admitted,review_required,BEV004
11835,expert_panel,research_summary,admitted,review_required,BEV004
21389,expert_panel,research_summary,admitted,review_required,BEV004
36197,expert_panel,research_summary,admitted,review_required,BEV004
36453,expert_panel,research_summary,admitted,review_required,BEV004
36454,expert_panel,research_summary,admitted,review_required,BEV004
37581,expert_panel,research_summary,admitted,review_required,BEV004
37656,expert_panel,research_summary,admitted,review_required,BEV004
37754,expert_panel,research_summary,admitted,review_required,BEV004
37763,expert_panel,research_summary,admitted,review_required,BEV004
43298,expert_panel,research_summary,admitted,review_required,BEV004
44830,expert_panel,research_summary,admitted,review_required,BEV004
48544,expert_panel,research_summary,admitted,review_required,BEV004
51409,expert_panel,research_summary,admitted,review_required,BEV004
53712,expert_panel,research_summary,admitted,review_required,BEV004
54467,expert_panel,research_summary,admitted,review_required,BEV004
54960,expert_panel,research_summary,admitted,review_required,BEV004
55220,expert_panel,research_summary,admitted,review_required,BEV004
55221,expert_panel,research_summary,admitted,review_required,BEV004
55411,expert_panel,research_summary,admitted,review_required,BEV004
55451,expert_panel,research_summary,admitted,review_required,BEV004
89232,expert_panel,research_summary,admitted,review_required,BEV004
89245,expert_panel,research_summary,admitted,review_required,BEV004
89483,expert_panel,research_summary,admitted,review_required,BEV004
89857,expert_panel,research_summary,admitted,review_required,BEV004
89968,expert_panel,research_summary,admitted,review_required,BEV004
90044,expert_panel,research_summary,admitted,review_required,BEV004
90332,expert_panel,research_summary,admitted,review_required,BEV004
90854,expert_panel,research_summary,admitted,review_required,BEV004
91031,expert_panel,research_summary,admitted,review_required,BEV004
91178,expert_panel,research_summary,admitted,review_required,BEV004
92743,expert_panel,research_summary,admitted,review_required,BEV004
102499,expert_panel,research_summary,admitted,review_required,BEV004
102729,expert_panel,research_summary,admitted,review_required,BEV004
102892,expert_panel,research_summary,admitted,review_required,BEV004
133012,expert_panel,research_summary,admitted,review_required,BEV004
133194,expert_panel,research_summary,admitted,review_required,BEV004
133217,expert_panel,research_summary,admitted,review_required,BEV004
143549,expert_panel,research_summary,admitted,review_required,BEV004
143564,expert_panel,research_summary,admitted,review_required,BEV004
156497,expert_panel,research_summary,admitted,review_required,BEV004
156620,expert_panel,research_summary,admitted,review_required,BEV004
160079,expert_panel,research_summary,admitted,review_required,BEV004
161277,expert_panel,research_summary,admitted,review_required,BEV004
164294,expert_panel,research_summary,admitted,review_required,BEV004
164724,expert_panel,research_summary,admitted,review_required,BEV004
